possession_id,period,start_action,end_action,start_clock,end_clock,owner_tno,end_reason,pts_owner,pts_against,owner_team_name,net_pts
168,4,566,568,09:46:00,09:20:00,1.0,def_reb,0,0,TOFAS,0
169,4,569,569,09:20:00,09:20:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
170,4,570,574,09:20:00,09:20:00,1.0,def_reb,0,0,TOFAS,0
171,4,575,575,09:20:00,09:20:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
172,4,576,579,09:20:00,09:07:00,1.0,def_reb,0,0,TOFAS,0
173,4,580,580,09:05:00,09:05:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
174,4,581,581,08:47:00,08:47:00,1.0,score,2,0,TOFAS,2
175,4,583,589,08:47:00,08:19:00,2.0,score,2,0,FENERBAHÇE BEKO,2
176,4,590,599,07:57:00,07:56:00,1.0,made_ft,1,0,TOFAS,1
177,4,600,600,07:56:00,07:56:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
178,4,602,602,07:56:00,07:56:00,1.0,def_reb,0,0,TOFAS,0
179,4,604,609,07:44:00,07:15:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
180,4,610,610,07:13:00,07:13:00,1.0,def_reb,0,0,TOFAS,0
181,4,611,611,06:55:00,06:55:00,2.0,score,2,2,FENERBAHÇE BEKO,0
182,4,612,614,06:55:00,06:41:00,1.0,score,3,3,TOFAS,0
183,4,615,624,06:41:00,06:41:00,2.0,made_ft_last,1,0,FENERBAHÇE BEKO,1
184,4,627,630,06:32:00,06:24:00,1.0,score,2,0,TOFAS,2
185,4,631,633,06:24:00,06:14:00,2.0,turnover,0,0,FENERBAHÇE BEKO,0
186,4,635,635,05:58:00,05:58:00,1.0,def_reb,0,0,TOFAS,0
187,4,636,636,05:56:00,05:56:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
188,4,638,638,05:55:00,05:55:00,1.0,score,2,2,TOFAS,0
189,4,639,645,05:55:00,05:55:00,2.0,made_ft_last,1,0,FENERBAHÇE BEKO,1
190,4,647,647,05:36:00,05:36:00,1.0,def_reb,0,0,TOFAS,0
191,4,648,648,05:33:00,05:33:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
192,4,650,652,05:31:00,05:31:00,1.0,made_ft,1,1,TOFAS,0
193,4,653,653,05:31:00,05:31:00,2.0,made_ft_last,1,0,FENERBAHÇE BEKO,1
194,4,654,664,05:31:00,04:59:00,1.0,def_reb,0,0,TOFAS,0
195,4,665,665,04:54:00,04:54:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
196,4,666,668,04:40:00,04:37:00,1.0,score,2,2,TOFAS,0
197,4,669,669,04:18:00,04:18:00,2.0,score,3,3,FENERBAHÇE BEKO,0
198,4,670,675,04:18:00,03:44:00,1.0,def_reb,0,0,TOFAS,0
199,4,677,677,03:40:00,03:40:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
200,4,678,683,03:40:00,03:32:00,1.0,turnover,0,0,TOFAS,0
201,4,684,685,03:32:00,03:25:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
202,4,686,686,03:23:00,03:23:00,1.0,def_reb,0,0,TOFAS,0
203,4,688,688,03:19:00,03:19:00,2.0,score,2,2,FENERBAHÇE BEKO,0
204,4,689,695,03:19:00,03:06:00,1.0,def_reb,0,0,TOFAS,0
205,4,696,696,03:03:00,03:03:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
206,4,700,705,02:46:00,02:40:00,1.0,def_reb,0,0,TOFAS,0
207,4,706,706,02:38:00,02:38:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
208,4,707,707,02:22:00,02:22:00,1.0,score,2,0,TOFAS,2
209,4,708,709,02:22:00,02:03:00,2.0,score,2,0,FENERBAHÇE BEKO,2
210,4,710,713,02:03:00,01:41:00,1.0,score,2,0,TOFAS,2
211,4,716,719,01:24:00,01:13:00,2.0,score,2,0,FENERBAHÇE BEKO,2
212,4,720,723,01:13:00,00:59:30,1.0,score,2,0,TOFAS,2
213,4,724,729,00:59:30,00:38:70,2.0,turnover,0,0,FENERBAHÇE BEKO,0
214,4,730,731,00:38:70,00:23:90,1.0,def_reb,0,0,TOFAS,0
215,4,732,732,00:21:80,00:21:80,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
216,4,736,736,00:04:60,00:04:60,1.0,def_reb,0,0,TOFAS,0
217,4,737,737,00:04:60,00:04:60,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
218,4,742,747,00:00:80,00:00:80,1.0,score,2,0,TOFAS,2
219,4,748,752,00:00:80,00:00:00,2.0,,0,0,FENERBAHÇE BEKO,0
